date,iso_code,S,V,I,daily_R0,avg_R0
2023-01-19,VNM,87155448,11777751,1692,0.3186696388367515,0.4017195379625951
2023-01-20,VNM,87419700,11515912,1592,0.3186696388367515,0.4017195379625951
2023-01-21,VNM,87677890,11260129,1498,0.3186696388367515,0.4017195379625951
2023-01-22,VNM,87930158,11010263,1409,0.3186696388367515,0.4017195379625951
2023-01-23,VNM,88176641,10766177,1326,0.3186696388367515,0.4017195379625951
2023-01-24,VNM,88417473,10527737,1248,0.3186696388367515,0.4017195379625951
2023-01-25,VNM,88652784,10294813,1175,0.3186696388367515,0.4017195379625951
2023-01-26,VNM,88882702,10067277,1105,0.3186696388367515,0.4017195379625951
2023-01-27,VNM,89107351,9845006,1040,0.3186696388367515,0.4017195379625951
2023-01-28,VNM,89326855,9627877,979,0.3186696388367515,0.4017195379625951
2023-01-29,VNM,89541331,9415772,922,0.3186696388367515,0.4017195379625951
2023-01-30,VNM,89750895,9208575,868,0.3186696388367515,0.4017195379625951
2023-01-31,VNM,89955662,9006172,817,0.3186696388367515,0.4017195379625951
2023-02-01,VNM,90155742,8808453,769,0.3186696388367515,0.4017195379625951
2023-02-02,VNM,90351245,8615309,724,0.3186696388367515,0.4017195379625951
2023-02-03,VNM,90542274,8426634,681,0.3186696388367515,0.4017195379625951
2023-02-04,VNM,90728935,8242326,642,0.3186696388367515,0.4017195379625951
2023-02-05,VNM,90911328,8062284,604,0.3186696388367515,0.4017195379625951
2023-02-06,VNM,91089552,7886408,569,0.3186696388367515,0.4017195379625951
2023-02-07,VNM,91263704,7714603,536,0.3186696388367515,0.4017195379625951
2023-02-08,VNM,91433877,7546774,504,0.3186696388367515,0.4017195379625951
2023-02-09,VNM,91600164,7382830,475,0.3186696388367515,0.4017195379625951
2023-02-10,VNM,91762654,7222680,447,0.3186696388367515,0.4017195379625951
2023-02-11,VNM,91921435,7066237,421,0.3186696388367515,0.4017195379625951
2023-02-12,VNM,92076594,6913415,396,0.3186696388367515,0.4017195379625951
2023-02-13,VNM,92228214,6764131,373,0.3186696388367515,0.4017195379625951
