date,case,case_origin,code
2020-01-23,1,Trong nước,local_case
2020-01-24,0,Trong nước,local_case
2020-01-25,0,Trong nước,local_case
2020-01-26,1,Trong nước,local_case
2020-01-27,0,Trong nước,local_case
2020-01-28,0,Trong nước,local_case
2020-01-29,0,Trong nước,local_case
2020-01-30,1,Trong nước,local_case
2020-01-31,0,Trong nước,local_case
2020-02-01,0,Trong nước,local_case
2020-02-02,0,Trong nước,local_case
2020-02-03,0,Trong nước,local_case
2020-02-04,1,Trong nước,local_case
2020-02-05,0,Trong nước,local_case
2020-02-06,0,Trong nước,local_case
2020-02-07,1,Trong nước,local_case
2020-02-08,1,Trong nước,local_case
2020-02-09,0,Trong nước,local_case
2020-02-10,0,Trong nước,local_case
2020-02-11,0,Trong nước,local_case
2020-02-12,1,Trong nước,local_case
2020-02-13,0,Trong nước,local_case
2020-02-14,0,Trong nước,local_case
2020-02-15,0,Trong nước,local_case
2020-02-16,0,Trong nước,local_case
2020-02-17,0,Trong nước,local_case
2020-02-18,0,Trong nước,local_case
2020-02-19,0,Trong nước,local_case
2020-03-06,0,Trong nước,local_case
2020-03-07,2,Trong nước,local_case
2020-03-08,0,Trong nước,local_case
2020-03-09,0,Trong nước,local_case
2020-03-10,0,Trong nước,local_case
2020-03-11,10,Trong nước,local_case
2020-03-12,1,Trong nước,local_case
2020-03-13,2,Trong nước,local_case
2020-03-14,0,Trong nước,local_case
2020-03-15,0,Trong nước,local_case
2020-03-16,0,Trong nước,local_case
2020-03-17,1,Trong nước,local_case
2020-03-18,0,Trong nước,local_case
2020-03-19,2,Trong nước,local_case
2020-03-20,0,Trong nước,local_case
2020-03-21,1,Trong nước,local_case
2020-03-22,5,Trong nước,local_case
2020-03-23,3,Trong nước,local_case
2020-03-24,12,Trong nước,local_case
2020-03-25,1,Trong nước,local_case
2020-03-26,20,Trong nước,local_case
2020-03-27,3,Trong nước,local_case
2020-03-28,7,Trong nước,local_case
2020-03-29,15,Trong nước,local_case
2020-03-30,10,Trong nước,local_case
2020-03-31,9,Trong nước,local_case
2020-04-01,12,Trong nước,local_case
2020-04-02,10,Trong nước,local_case
2020-04-03,3,Trong nước,local_case
2020-04-04,2,Trong nước,local_case
2020-04-05,0,Trong nước,local_case
2020-04-06,1,Trong nước,local_case
2020-04-07,1,Trong nước,local_case
2020-04-08,2,Trong nước,local_case
2020-04-09,1,Trong nước,local_case
2020-04-10,2,Trong nước,local_case
2020-04-11,1,Trong nước,local_case
2020-04-12,2,Trong nước,local_case
2020-04-13,5,Trong nước,local_case
2020-04-14,1,Trong nước,local_case
2020-04-15,1,Trong nước,local_case
2020-04-16,1,Trong nước,local_case
2020-04-17,0,Trong nước,local_case
2020-04-18,0,Trong nước,local_case
2020-04-19,0,Trong nước,local_case
2020-04-20,0,Trong nước,local_case
2020-04-21,0,Trong nước,local_case
2020-04-22,0,Trong nước,local_case
2020-04-23,0,Trong nước,local_case
2020-04-24,0,Trong nước,local_case
2020-04-25,0,Trong nước,local_case
2020-04-26,0,Trong nước,local_case
2020-04-27,0,Trong nước,local_case
2020-04-28,0,Trong nước,local_case
2020-04-29,0,Trong nước,local_case
2020-04-30,0,Trong nước,local_case
2020-05-01,0,Trong nước,local_case
2020-05-03,0,Trong nước,local_case
2020-05-04,0,Trong nước,local_case
2020-05-05,0,Trong nước,local_case
2020-05-06,0,Trong nước,local_case
2020-05-07,0,Trong nước,local_case
2020-05-08,0,Trong nước,local_case
2020-05-09,0,Trong nước,local_case
2020-05-10,0,Trong nước,local_case
2020-05-11,0,Trong nước,local_case
2020-05-12,0,Trong nước,local_case
2020-05-13,0,Trong nước,local_case
2020-05-14,0,Trong nước,local_case
2020-05-15,0,Trong nước,local_case
2020-05-16,0,Trong nước,local_case
2020-05-17,0,Trong nước,local_case
2020-05-18,0,Trong nước,local_case
2020-05-19,0,Trong nước,local_case
2020-05-20,0,Trong nước,local_case
2020-05-21,0,Trong nước,local_case
2020-05-22,0,Trong nước,local_case
2020-05-23,0,Trong nước,local_case
2020-05-24,1,Trong nước,local_case
2020-05-25,1,Trong nước,local_case
2020-05-26,1,Trong nước,local_case
2020-05-27,0,Trong nước,local_case
2020-05-28,0,Trong nước,local_case
2020-05-29,0,Trong nước,local_case
2020-05-30,1,Trong nước,local_case
2020-05-31,0,Trong nước,local_case
2020-06-01,0,Trong nước,local_case
2020-06-02,0,Trong nước,local_case
2020-06-03,0,Trong nước,local_case
2020-06-04,0,Trong nước,local_case
2020-06-05,0,Trong nước,local_case
2020-06-06,1,Trong nước,local_case
2020-06-07,0,Trong nước,local_case
2020-06-08,3,Trong nước,local_case
2020-06-09,0,Trong nước,local_case
2020-06-10,0,Trong nước,local_case
2020-06-11,0,Trong nước,local_case
2020-06-12,1,Trong nước,local_case
2020-06-13,1,Trong nước,local_case
2020-06-14,0,Trong nước,local_case
2020-06-15,0,Trong nước,local_case
2020-06-16,0,Trong nước,local_case
2020-06-17,0,Trong nước,local_case
2020-06-18,0,Trong nước,local_case
2020-06-19,7,Trong nước,local_case
2020-06-20,0,Trong nước,local_case
2020-06-21,0,Trong nước,local_case
2020-06-22,0,Trong nước,local_case
2020-06-23,0,Trong nước,local_case
2020-06-24,2,Trong nước,local_case
2020-06-25,0,Trong nước,local_case
2020-06-26,1,Trong nước,local_case
2020-06-27,2,Trong nước,local_case
2020-06-28,0,Trong nước,local_case
2020-06-29,0,Trong nước,local_case
2020-06-30,0,Trong nước,local_case
2020-07-01,0,Trong nước,local_case
2020-07-02,0,Trong nước,local_case
2020-07-03,0,Trong nước,local_case
2020-07-04,0,Trong nước,local_case
2020-07-06,14,Trong nước,local_case
2020-07-07,0,Trong nước,local_case
2020-07-08,0,Trong nước,local_case
2020-07-09,0,Trong nước,local_case
2020-07-10,0,Trong nước,local_case
2020-07-11,1,Trong nước,local_case
2020-07-12,0,Trong nước,local_case
2020-07-13,0,Trong nước,local_case
2020-07-14,1,Trong nước,local_case
2020-07-15,0,Trong nước,local_case
2020-07-16,0,Trong nước,local_case
2020-07-17,0,Trong nước,local_case
2020-07-18,0,Trong nước,local_case
2020-07-19,1,Trong nước,local_case
2020-07-20,0,Trong nước,local_case
2020-07-21,12,Trong nước,local_case
2020-07-22,5,Trong nước,local_case
2020-07-23,4,Trong nước,local_case
2020-07-24,1,Trong nước,local_case
2020-07-25,3,Trong nước,local_case
2020-07-26,3,Trong nước,local_case
2020-07-27,2,Trong nước,local_case
2020-07-28,16,Trong nước,local_case
2020-07-29,12,Trong nước,local_case
2020-07-30,14,Trong nước,local_case
2020-07-31,56,Trong nước,local_case
2020-08-01,43,Trong nước,local_case
2020-08-02,32,Trong nước,local_case
2020-08-03,29,Trong nước,local_case
2020-08-04,38,Trong nước,local_case
2020-08-05,42,Trong nước,local_case
2020-08-06,31,Trong nước,local_case
2020-08-07,33,Trong nước,local_case
2020-08-08,21,Trong nước,local_case
2020-08-09,39,Trong nước,local_case
2020-08-10,5,Trong nước,local_case
2020-08-11,13,Trong nước,local_case
2020-08-12,20,Trong nước,local_case
2020-08-13,24,Trong nước,local_case
2020-08-14,24,Trong nước,local_case
2020-08-15,16,Trong nước,local_case
2020-08-16,9,Trong nước,local_case
2020-08-17,13,Trong nước,local_case
2020-08-18,10,Trong nước,local_case
2020-08-19,4,Trong nước,local_case
2020-08-20,13,Trong nước,local_case
2020-08-21,2,Trong nước,local_case
2020-08-22,5,Trong nước,local_case
2020-08-23,2,Trong nước,local_case
2020-08-24,6,Trong nước,local_case
2020-08-25,7,Trong nước,local_case
2020-08-26,0,Trong nước,local_case
2020-08-27,2,Trong nước,local_case
2020-08-28,1,Trong nước,local_case
2020-08-29,1,Trong nước,local_case
2020-08-30,0,Trong nước,local_case
2020-08-31,0,Trong nước,local_case
2020-09-01,0,Trong nước,local_case
2020-09-02,1,Trong nước,local_case
2020-09-03,0,Trong nước,local_case
2020-09-04,0,Trong nước,local_case
2020-09-05,0,Trong nước,local_case
2020-09-06,0,Trong nước,local_case
2020-09-07,0,Trong nước,local_case
2020-09-08,0,Trong nước,local_case
2020-09-09,0,Trong nước,local_case
2020-09-10,0,Trong nước,local_case
2020-09-11,0,Trong nước,local_case
2020-09-12,0,Trong nước,local_case
2020-09-13,0,Trong nước,local_case
2020-09-14,0,Trong nước,local_case
2020-09-15,0,Trong nước,local_case
