provinceName,population,popOverEighteen,totalOnceInjected,totalTwiceInjected,totalInjected,totalVaccineAllocated,totalVaccineAllocatedReality
An Giang,1908352,1457127,1547279,1472481,3019760,2606158,3112132
Bà Rịa - Vũng Tàu,1148313,891244,1068441,907231,1975672,1563924,2034410
Bình Dương,2426561,2381252,2555700,2010300,4566000,3550283,4772470
Bình Phước,994679,758594,860550,749675,1610225,1285789,1528060
Bình Thuận,1230808,865494,973541,821686,1795227,1592509,1701850
Bình Định,1486918,1110818,1140034,887022,2027056,1966752,1902530
Bạc Liêu,907236,572580,653054,631327,1284381,1275056,1269690
Bắc Giang,1803950,1267538,1413795,1190899,2604694,2408322,2203610
Bắc Kạn,313905,222390,225495,180480,405975,409198,343170
Bắc Ninh,1368840,985257,1225409,1148827,2374236,1871988,1865510
Bến Tre,1288463,980652,1099938,1026292,2126230,1863239,1882520
Cao Bằng,530341,368973,374031,316349,690380,678910,550460
Cà Mau,1194476,857571,906257,939391,1845648,1629385,1677630
Cần Thơ,1235171,941769,1025301,1044698,2069999,1789361,2132068
Gia Lai,1513847,950154,1093439,718918,1812357,1760170,1795832
Hà Giang,854679,592774,552743,453508,1006251,1145979,1128820
Hà Nam,852800,612219,648579,628767,1277346,1126483,1213520
Hà Nội,8053664,6200000,6823286,6262272,13085558,11376541,12294742
Hà Tĩnh,1288866,892702,905641,718514,1624155,1642572,1220150
Hòa Bình,854131,523483,601253,478390,1079643,1100234,1046120
Hưng Yên,1252731,935528,937148,839760,1776908,1705117,1686572
Hải Dương,1892254,1367571,1322029,970056,2292085,2598385,2025640
Hải Phòng,1837173,1580000,1789225,1436434,3225659,2857279,2767400
Hậu Giang,733017,536163,603871,561889,1165760,1018710,1190250
Khánh Hòa,1231107,901731,1072069,1014392,2086461,1695222,1886770
Kiên Giang,1723067,1248338,1372588,1180593,2553181,2371842,3001880
Kon Tum,540438,338741,370004,281649,651653,611388,621200
Lai Châu,460196,282600,302463,280390,582853,496261,517840
Long An,1688547,1361733,1658157,1565050,3223207,2397297,2998000
Lào Cai,730420,445164,531823,474659,1006482,856325,933550
Lâm Đồng,1296606,901167,1099577,1032435,2132012,1642299,1952774
Lạng Sơn,781655,558242,558515,534756,1093271,1017262,1117220
Nam Định,1780393,1272614,1189939,1026615,2216554,2341610,1772560
Nghệ An,3327791,1960668,2207907,1785179,3993086,4267816,3900900
Ninh Bình,982487,695394,718360,698951,1417311,1279525,1239970
Ninh Thuận,590467,428346,486906,436057,922963,739091,892660
Phú Thọ,1463726,1029489,1088474,921557,2010031,1894260,1729400
Phú Yên,961152,616333,697246,583997,1281243,1171033,1108954
Quảng Bình,895430,611974,588290,495419,1083709,1135015,978810
Quảng Nam,1495812,1250469,1139709,953407,2093116,1966932,2149770
Quảng Ngãi,1231697,883502,896198,738680,1634878,1678654,1562604
Quảng Ninh,1320324,1013446,1091602,1027406,2119008,1778123,2121498
Quảng Trị,632375,463442,468431,403581,872012,786243,848182
Sóc Trăng,1199653,861361,996651,853419,1850070,1636586,2114660
Sơn La,1248415,792702,853084,571291,1424375,1458572,1193980
TP. Hồ Chí Minh,8993082,7208800,8077871,7147477,15225348,13794299,14637020
Thanh Hóa,3640128,2605729,2840589,2083117,4923706,4794541,3877590
Thái Bình,1860447,1373070,1289783,1180940,2470723,2526449,1893980
Thái Nguyên,1286751,918061,1168947,711182,1880129,1693856,1271330
Thừa Thiên Huế,1128620,779911,883387,799760,1683147,1481288,1616626
Tiền Giang,1764185,1488385,1464169,1391499,2855668,2512418,2974320
Trà Vinh,1009168,734794,872754,655530,1528284,1396109,1353410
Tuyên Quang,784811,535735,553654,479501,1033155,985752,930610
Tây Ninh,1169165,977624,955284,892318,1847602,1658187,2055900
Vĩnh Long,1022791,769026,858883,823035,1681918,1461149,1733130
Vĩnh Phúc,1154154,789896,840560,693459,1534019,1453409,1462250
Yên Bái,821030,510271,577708,526749,1104457,1039328,1034300
Điện Biên,598856,336229,391277,267426,658703,663416,629460
Đà Nẵng,1134310,885070,959378,899287,1858665,1571173,1720782
Đắk Lắk,1869322,1263947,1413944,1052998,2466942,2317760,2100110
Đắk Nông,622168,404872,467241,439031,906272,723091,819420
Đồng Nai,3097107,2384309,2887438,2438353,5325791,4256053,5025430
Đồng Tháp,1599504,1181264,1380358,1279447,2659805,2244402,2705690
