year,criteria,An Giang,Bà Rịa - Vũng Tàu,Bình Dương,Bình Phước,Bình Thuận,Bình Định,Bạc Liêu,Bắc Giang,Bắc Kạn,Bắc Ninh,Bến Tre,Cao Bằng,Cà Mau,Cần Thơ,Gia Lai,Hà Giang,Hà Nam,Hà Nội,Hà Tĩnh,Hòa Bình,Hưng Yên,Hải Dương,Hải Phòng,Hậu Giang,Khánh Hòa,Kiên Giang,Kon Tum,Lai Châu,Long An,Lào Cai,Lâm Đồng,Lạng Sơn,Nam Định,Nghệ An,Ninh Bình,Ninh Thuận,Phú Thọ,Phú Yên,Quảng Bình,Quảng Nam,Quảng Ngãi,Quảng Ninh,Quảng Trị,Sóc Trăng,Sơn La,TP. Hồ Chí Minh,Thanh Hóa,Thái Bình,Thái Nguyên,Thừa Thiên Huế,Tiền Giang,Trà Vinh,Tuyên Quang,Tây Ninh,Vĩnh Long,Vĩnh Phúc,Yên Bái,Điện Biên,Đà Nẵng,Đắk Lắk,Đắk Nông,Đồng Nai,Đồng Tháp
2011,Area(km2),3536.7,1989.5,2694.4,6871.5,7812.9,6050.6,2468.7,3844,4859.4,822.7,2360.6,6707.9,5294.9,1409,15536.9,7914.9,860.5,3328.9,5997.2,4608.7,926,1656,1523.4,1602.5,5217.7,6348.5,9689.6,9068.8,4492.4,6383.9,9773.5,8320.8,1651.4,16493.7,1390.3,3358.3,3533.4,5060.6,8065.3,10438.4,5153,6102.4,4739.8,3311.6,14174.4,2095.6,11131.9,1570,3531.7,5033.2,2508.3,2341.2,5867.3,4039.7,1496.8,1236.5,6886.3,9562.9,1285.4,13125.4,6515.6,5907.2,3377
2011,Average population(thousand),2149,1022.5,1659.1,897.3,1184.5,1498.2,864.9,1581.8,300.4,1063.4,1257.4,514,1210,1208,1321.7,746.6,786.9,6761.3,1237.8,799,1138.4,1729.8,1879.8,761.7,1171.4,1710.9,451.6,389.4,1449.9,637,1218.7,740.8,1833.5,2955.9,907.7,574.1,1329.3,870,853.4,1442.7,1225.2,1168,604.7,1298.4,1118.6,7498.4,3437.7,1785.9,1139.4,1103.1,1682.6,1013.1,734.9,1082,1029.1,1011.4,758.6,510.8,946,1770.5,519.6,2640.2,1671.7
2011,Population density(person/km2),607.63,513.95,615.76,130.58,151.61,247.61,350.35,411.5,61.82,1292.57,532.66,76.63,228.52,857.35,85.07,94.33,914.47,2031.09,206.4,173.37,1229.37,1044.57,1233.95,475.32,224.51,269.5,46.61,42.94,322.75,99.78,124.69,89.03,1110.27,179.21,652.88,170.95,376.21,171.92,105.81,138.21,237.76,191.4,127.58,392.08,78.92,3578.16,308.82,1137.52,322.62,219.16,670.81,432.73,125.25,267.84,687.53,817.95,110.16,53.41,735.96,134.89,79.75,446.95,495.03
2012,Area(km2),3536.7,1989.5,2694.4,6871.5,7812.8,6050.6,2468.7,3848.9,4859.4,822.7,2357.7,6707.9,5294.9,1409,15536.9,7914.9,860.5,3323.6,5997.8,4608.7,926,1656,1523.9,1602.5,5217.7,6348.5,9689.6,9068.8,4492.4,6383.9,9773.5,8320.8,1652.6,16490.9,1376.7,3358.3,3533.4,5060.6,8065.3,10438.4,5153,6102.3,4739.8,3311.6,14174.4,2095.6,11132.2,1570,3534.7,5033.2,2508.3,2341.2,5867.3,4039.7,1504.9,1236.5,6886.3,9562.9,1285.4,13125.4,6515.6,5907.2,3377
2012,Average population(thousand),2151.2,1033,1731,908.9,1191.6,1502.4,869.3,1592.9,303,1085.8,1258.9,515.2,1212.1,1218.3,1340.5,761.6,792.2,6865.2,1243.2,805.2,1144.1,1741.7,1904.1,763.8,1180.1,1723.8,462.7,397.3,1460.3,646.5,1232,745.3,1835.1,2983.3,919.1,579.4,1340.8,876.1,858.3,1452.9,1229.8,1177.7,608.2,1301.5,1134.4,7660.3,3457.9,1787.4,1149.1,1113.9,1692.5,1018.4,740.8,1089.7,1034.5,1022.4,765.7,519.7,966.3,1791.4,536.7,2707.8,1675
2012,Population density(person/km2),608.25,519.23,642.44,132.27,152.52,248.31,352.13,413.86,62.35,1319.8,533.95,76.8,228.92,864.66,86.28,96.22,920.63,2065.59,207.28,174.71,1235.53,1051.75,1249.49,476.63,226.17,271.53,47.75,43.81,325.06,101.27,126.06,89.57,1110.43,180.91,667.61,172.53,379.46,173.12,106.42,139.19,238.66,192.99,128.32,393.01,80.03,3655.42,310.62,1138.47,325.09,221.31,674.76,434.99,126.26,269.75,687.42,826.85,111.19,54.35,751.75,136.48,82.37,458.39,496
2013,Area(km2),3536.7,1989.5,2694.4,6871.5,7812.8,6050.6,2468.7,3849.7,4859.4,822.7,2359.5,6707.9,5294.9,1409,15536.9,7914.9,860.5,3324.3,5997.3,4608.7,926,1656,1527.4,1602.4,5217.7,6348.5,9689.6,9068.8,4491.9,6383.9,9773.6,8320.8,1652.8,16492.7,1378.1,3358.3,3533.3,5060.5,8065.3,10438.4,5152,6102.4,4739.8,3311.6,14174.4,2095.6,11130.5,1570.5,3536.4,5033.2,2508.6,2341.2,5867.3,4032.6,1520.2,1238.6,6886.3,9562.9,1285.4,13125.4,6515.6,5907.2,3378.8
2013,Average population(thousand),2153.3,1046.5,1802.5,920.7,1199.5,1509.3,873.6,1608,305.2,1108.2,1260.6,517.9,1214.2,1228.5,1359.1,775.8,796,6977,1249.1,810.3,1151.6,1751.8,1925.2,766.2,1188.4,1734.3,473.3,405.7,1469.9,655.9,1245.4,749.7,1839.9,3011.3,927.2,584.9,1351.2,882,863.4,1463.2,1236.3,1187.5,613,1304.7,1150.5,7820,3477.7,1788.1,1156,1122.7,1703.4,1023.9,747.2,1096.9,1037.8,1029.4,774.6,528.5,986.8,1812.8,555.1,2772.7,1678.4
2013,Population density(person/km2),608.84,526.01,668.98,133.99,153.53,249.45,353.87,417.69,62.81,1347.03,534.27,77.21,229.32,871.89,87.48,98.02,925.04,2098.79,208.28,175.82,1243.63,1057.85,1260.44,478.16,227.76,273.18,48.85,44.74,327.23,102.74,127.42,90.1,1113.2,182.58,672.81,174.17,382.42,174.29,107.05,140.17,239.97,194.6,129.33,393.98,81.17,3731.63,312.45,1138.55,326.89,223.06,679.02,437.34,127.35,272.01,682.67,831.1,112.48,55.27,767.7,138.11,85.2,469.38,496.74
2014,Area(km2),3536.7,1989.5,2694.4,6871.5,7813.1,6050.6,2468.7,3849.5,4859.4,822.7,2359.8,6703.4,5294.9,1408.9,15536.9,7914.9,862,3324.5,5997.8,4608.7,926,1656,1527.4,1602.4,5217.7,6348.5,9689.6,9068.8,4495,6383.9,9773.5,8320.8,1653.2,16490,1377.6,3358.3,3533.3,5060.6,8065.3,10438.4,5152.7,6102.3,4739.8,3311.6,14174.4,2095.5,11129.5,1570.8,3533.2,5033.2,2509.3,2341.2,5867.3,4032.6,1520.2,1237.5,6886.3,9562.9,1285.4,13125.4,6515.6,5907.2,3378.8
2014,Average population(thousand),2155.8,1059.5,1873.6,932.5,1207.4,1514.5,877.9,1624.5,307.3,1131.2,1262.2,520.2,1216.4,1238.3,1377.8,788.8,799.4,7095.9,1255.3,817.4,1158.1,1763.2,1946,768.4,1196.9,1745.5,484.2,415.3,1477.3,665.2,1259.3,753.7,1845.6,3037.4,935.8,590.4,1360.2,887.4,868.2,1471.8,1241.4,1199.4,616.4,1307.7,1166.4,7981.9,3496.1,1788.7,1173.2,1131.8,1716.1,1029.3,753.8,1104.2,1041.5,1041.9,783.5,538.1,1007.7,1833.3,571.3,2838.6,1681.3
2014,Population density(person/km2),610,533,695,136,155,250,356,422,63,1375,535,78,230,879,89,100,927,2134,209,177,1251,1065,1274,480,229,275,50,46,329,104,129,91,1116,184,679,176,385,175,108,141,241,197,130,395,82,3809,314,1139,332,225,684,440,128,274,685,842,114,56,784,140,88,481,498
