COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED
Falkland Islands (Malvinas),FLK,AMRO,OWID,2021-04-14,4407,2632.0,126.529,75.567,1775.0,50.962,AstraZeneca - AZD1222,,1.0
Saint Helena,SHN,AFRO,OWID,2021-05-05,7892,4361.0,129.995,71.833,3531.0,58.162,AstraZeneca - AZD1222,,1.0
Guernsey,GGY,EURO,OWID,2021-12-14,106109,,164.592,,,,"Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,3.0
Greenland,GRL,EURO,OWID,2021-12-27,78500,40447.0,138.272,71.245,38053.0,67.028,Moderna - mRNA-1273,,1.0
Gibraltar,GIB,EURO,OWID,2021-12-23,108323,41173.0,321.519,122.208,40065.0,118.919,Pfizer BioNTech - Comirnaty,,1.0
Isle of Man,IMN,EURO,OWID,2021-12-31,177816,68790.0,209.117,80.899,65454.0,76.976,"Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,3.0
Faroe Islands,FRO,EURO,OWID,2021-12-30,96235,41437.0,196.941,84.799,40528.0,82.939,"Moderna - mRNA-1273, Pfizer BioNTech - Comirnaty",,2.0
Liechtenstein,LIE,OTHER,OWID,2021-12-29,62998,26146.0,162.588,67.479,25596.0,66.059,"Moderna - mRNA-1273, Pfizer BioNTech - Comirnaty",,2.0
Jersey,JEY,EURO,OWID,2021-12-26,206976,81104.0,192.007,75.238,76747.0,71.197,"Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,3.0
Philippines,PHL,WPRO,REPORTING,2021-12-16,100019137,59596684.0,91.274,54.386,43029348.0,39.267,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Julphar - Hayat-Vax,Moderna - Spikevax,Novavax - Covavax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-03-01,10.0
Nigeria,NGA,AFRO,REPORTING,2021-12-31,14838199,10310476.0,7.198,5.002,4482899.0,2.175,SII - Covishield,2021-03-05,1.0
Oman,OMN,EMRO,REPORTING,2021-12-19,6046310,3121257.0,118.401,61.122,2890827.0,56.609,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2020-12-29,5.0
Curaçao,CUW,AMRO,REPORTING,2021-12-23,204731,103890.0,124.765,63.312,96382.0,58.736,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2021-02-24,3.0
Niue,NIU,WPRO,REPORTING,2021-08-02,2352,1202.0,145.365,74.289,1150.0,71.075,Pfizer BioNTech - Comirnaty,2021-06-08,1.0
Viet Nam,VNM,WPRO,REPORTING,2021-12-16,136861720,75561338.0,140.604,77.627,60171020.0,61.816,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,CIGB - CIGB-66,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2021-03-08,6.0
Seychelles,SYC,AFRO,REPORTING,2021-12-28,183472,82348.0,186.556,83.732,78263.0,79.578,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Julphar - Hayat-Vax,SII - Covishield",2021-01-10,4.0
Thailand,THA,SEARO,REPORTING,2021-12-20,95091277,50604144.0,136.234,72.499,44487133.0,63.735,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-02-28,7.0
Panama,PAN,AMRO,REPORTING,2021-12-23,6193744,3120802.0,143.548,72.328,2804103.0,64.989,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty",2021-01-20,2.0
