Year,iso_code,Country,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2019,ABW,Aruba,27.7,27.6,27.9,29.0,29.4,30.5,30.4,31.2,31.2,30.1,29.5,28.1
2020,ABW,Aruba,27.9,28.4,28.4,29.2,30.0,30.3,30.2,30.9,31.1,29.8,28.4,27.8
2021,ABW,Aruba,27.5,27.6,27.7,28.6,29.5,29.7,30.0,30.2,30.8,29.9,28.9,27.9
2019,AFG,Afghanistan,1.79,2.24,7.84,14.23,18.42,22.97,26.73,24.15,20.7,14.32,5.17,3.11
2020,AFG,Afghanistan,-0.72,4.21,7.94,13.54,19.02,23.64,25.87,24.46,18.37,12.03,5.52,0.48
2021,AFG,Afghanistan,-0.55,5.65,9.81,15.27,19.94,24.95,26.8,24.81,20.73,12.98,6.72,3.98
2019,AGO,Angola,22.69,22.89,22.98,22.23,20.8,18.43,18.61,20.6,22.17,23.53,23.42,23.41
2020,AGO,Angola,22.79,23.07,22.93,22.56,21.1,18.67,18.47,20.3,22.23,23.24,22.79,22.67
2021,AGO,Angola,22.57,22.83,22.68,22.35,21.06,18.98,18.55,20.59,22.7,23.14,22.88,22.66
2019,AIA,Anguilla,26.3,26.1,26.6,27.2,27.6,29.0,29.3,29.6,29.4,28.9,28.4,27.6
2020,AIA,Anguilla,26.6,27.1,26.5,27.4,28.5,29.2,29.1,29.6,29.4,28.5,27.5,26.4
2021,AIA,Anguilla,26.4,26.4,26.5,27.1,27.7,28.4,29.0,29.2,29.3,29.1,28.3,27.0
2019,ALB,Albania,1.94,5.04,8.78,11.26,13.59,21.02,22.43,23.88,19.3,15.03,11.45,6.11
2020,ALB,Albania,3.25,6.15,7.79,11.04,15.54,18.28,22.28,23.15,19.82,13.91,9.19,6.52
2021,ALB,Albania,4.46,5.87,6.17,9.53,15.67,20.12,23.41,23.39,18.57,12.02,9.92,5.38
2019,AND,Andorra,0.24,2.46,4.62,5.65,8.71,14.49,18.87,17.81,14.76,10.75,4.44,4.03
2020,AND,Andorra,2.14,3.98,3.92,7.03,11.74,13.45,17.99,17.9,14.48,8.27,5.75,2.16
2021,AND,Andorra,0.32,3.71,3.5,4.96,9.04,15.05,16.74,16.61,14.95,9.44,3.75,2.75
2019,ARE,United Arab Emirates,19.71,20.13,22.48,27.76,32.5,35.61,36.75,36.36,35.05,31.0,24.1,21.76
2020,ARE,United Arab Emirates,18.32,20.95,22.81,28.02,32.75,35.48,36.95,36.84,33.79,28.9,24.94,20.67
2021,ARE,United Arab Emirates,18.42,21.35,25.44,29.78,33.48,35.31,37.0,36.47,34.42,30.07,25.15,21.65
2019,ARG,Argentina,21.17,20.7,17.57,15.58,11.63,9.6,8.17,9.63,12.44,15.51,19.73,20.89
2020,ARG,Argentina,21.96,20.65,20.61,15.56,11.63,8.85,7.0,10.36,13.1,16.2,19.62,20.85
2021,ARG,Argentina,21.1,20.47,18.58,16.46,10.88,8.05,8.54,10.54,13.87,16.42,18.5,21.73
2019,ARM,Armenia,-4.71,-3.55,1.03,6.76,13.96,19.51,20.93,20.8,15.61,11.98,2.05,-1.21
2020,ARM,Armenia,-5.87,-4.1,3.64,6.98,12.72,17.82,21.66,19.09,17.8,11.19,3.13,-3.28
2021,ARM,Armenia,-5.35,-2.68,1.32,10.52,14.32,19.01,21.79,21.46,16.08,8.57,3.36,-2.98
2019,ATG,Antigua and Barbuda,25.5,25.5,26.0,26.6,27.4,28.6,29.0,29.0,28.7,28.1,27.5,27.1
2020,ATG,Antigua and Barbuda,26.0,26.4,25.8,27.0,28.2,28.8,29.0,29.1,28.6,27.7,26.8,25.9
2021,ATG,Antigua and Barbuda,25.7,25.8,25.9,26.6,27.4,28.0,28.7,28.8,28.5,28.3,27.5,26.6
2019,AUS,Australia,30.02,28.25,27.09,22.97,18.49,15.12,15.52,16.01,19.99,24.45,26.16,29.78
2020,AUS,Australia,29.0,28.14,26.03,23.43,17.37,15.9,14.91,17.01,21.29,23.47,27.33,27.2
2021,AUS,Australia,28.15,27.16,25.62,22.08,18.44,15.16,15.57,17.02,19.99,23.28,24.56,27.93
2019,AUT,Austria,-2.92,1.54,4.47,7.75,8.52,17.48,18.07,17.91,13.1,9.58,4.06,0.77
2020,AUT,Austria,-0.4,2.69,2.99,8.77,10.26,14.57,16.87,17.8,13.75,7.75,3.66,0.06
2021,AUT,Austria,-2.09,0.65,2.16,4.47,8.88,17.55,17.41,15.25,13.82,7.45,2.54,-0.27
2019,AZE,Azerbaijan,3.64,3.93,6.57,11.41,18.74,25.09,25.37,24.6,19.71,16.79,7.42,5.79
2020,AZE,Azerbaijan,2.65,3.82,8.69,11.17,17.48,23.5,26.03,22.76,21.79,15.5,8.64,2.78
2021,AZE,Azerbaijan,2.47,4.39,6.43,15.25,18.91,24.59,26.03,25.85,20.73,13.28,8.66,4.36
2019,BDI,Burundi,20.55,21.33,20.99,21.16,18.72,19.9,20.17,21.4,21.9,21.14,20.37,20.04
2020,BDI,Burundi,20.5,20.09,20.17,19.62,20.39,19.79,19.86,20.73,21.59,21.63,20.33,20.54
2021,BDI,Burundi,20.44,19.83,20.16,20.49,20.03,19.56,19.63,20.61,21.45,21.57,21.1,21.44
2019,BEL,Belgium,2.82,6.28,8.14,10.59,11.7,18.72,19.57,19.3,15.13,11.79,6.31,5.88
2020,BEL,Belgium,5.46,6.81,7.05,11.89,13.5,17.38,18.02,20.94,16.22,11.25,8.37,5.55
2021,BEL,Belgium,2.75,4.45,6.71,6.95,11.06,18.61,18.02,17.15,16.35,11.29,6.46,5.45
2019,BEN,Benin,28.09,28.86,31.43,30.37,29.03,27.22,26.8,26.28,26.99,27.07,28.59,27.41
2020,BEN,Benin,27.31,29.7,31.83,31.47,30.14,28.32,26.43,25.77,26.35,27.5,28.24,28.18
2021,BEN,Benin,28.57,29.71,31.3,31.57,30.34,28.13,26.77,26.25,26.81,28.35,28.81,27.91
2019,BFA,Burkina Faso,26.04,28.17,31.88,32.79,32.29,29.78,28.59,27.65,28.78,29.25,29.65,26.62
2020,BFA,Burkina Faso,25.82,28.65,33.07,34.57,33.67,30.86,28.56,27.21,27.76,29.15,28.39,27.85
2021,BFA,Burkina Faso,27.58,29.04,32.52,34.26,33.62,30.61,28.54,27.46,28.62,30.48,30.18,27.28
2019,BGD,Bangladesh,19.5,20.84,24.54,27.59,29.11,29.31,28.88,29.16,28.43,27.05,23.98,18.62
2020,BGD,Bangladesh,17.41,20.81,24.85,27.18,28.01,28.65,28.75,28.94,28.84,28.32,23.59,19.09
