Country or Territory Code,Country or Territory,Unit,Annual NCDC Computed Value
AG,ARGENTINA,m/sec,5.58
AH,"AFGHANISTAN, ISLAMIC STATE OF",m/sec,2.49
AJ,AZERBAIJAN,m/sec,2.22
AP,JAPAN (ANTARCTIC STATIONS),m/sec,6.4
B1,BAHRAIN,m/sec,4.7
B3,BENIN,m/sec,2.27
BA,BAHAMAS,m/sec,7.7
BL,BELARUS,m/sec,3.5
BP,BRUNEI DARUSSALAM,m/sec,1.6
BU,BULGARIA,m/sec,2.4
BX,BELGIUM,m/sec,3.6
CS,COSTA RICA,m/sec,2.9
CV,CAPE VERDE,m/sec,6.2
CZ,CZECH REPUBLIC,m/sec,3.62
DN,DENMARK,m/sec,5.84
DR,DOMINICAN REPUBLIC,m/sec,3.15
E1,ERITREA,m/sec,3.3
FR,FRANCE,m/sec,3.76
GL,GREENLAND,m/sec,3.68
GP,"FRANCE (CARIBBEAN ISLANDS, GUADELOUPE, MARTINIQUE)",m/sec,4.23
GR,GREECE,m/sec,4.06
HK,HONG KONG,m/sec,3.0
HO,HONDURAS,m/sec,3.16
HU,HUNGARY,m/sec,2.86
IE,IRELAND,m/sec,5.3
IL,ICELAND,m/sec,5.2
IN,INDIA,m/sec,2.12
IR,"IRAN, ISLAMIC REPUBLIC OF",m/sec,3.45
IV,IVORY COAST,m/sec,1.45
JP,JAPAN,m/sec,3.07
KM,CAMEROON,m/sec,1.52
KO,"KOREA, REPUBLIC OF",m/sec,3.27
KW,KUWAIT,m/sec,4.3
LA,LAO PEOPLE'S DEMOCRATIC REPUBLIC,m/sec,1.98
LU,LITHUANIA,m/sec,3.79
LV,LATVIA,m/sec,3.98
M1,MALI,m/sec,2.21
MA,MAURITIUS,m/sec,5.0
MG,MADAGASCAR,m/sec,2.9
ML,MALTA,m/sec,4.5
MO,MONGOLIA,m/sec,2.78
MS,MALAYSIA,m/sec,1.56
MV,MALDIVES,m/sec,5.0
MW,MALAWI,m/sec,2.28
MX,MEXICO,m/sec,2.98
NC,NEW CALEDONIA,m/sec,3.23
NG,NIGER,m/sec,2.76
NI,NIGERIA,m/sec,2.53
NK,NICARAGUA,m/sec,2.45
NL,NETHERLANDS,m/sec,4.98
OM,OMAN,m/sec,3.57
OS,AUSTRIA,m/sec,2.71
PA,PORTUGAL (MADEIRA),m/sec,2.1
PC,CHINA,m/sec,2.35
PH,PHILIPPINES,m/sec,2.49
PL,POLAND,m/sec,3.69
PO,PORTUGAL,m/sec,4.32
QR,QATAR,m/sec,4.5
RO,ROMANIA,m/sec,3.2
S1,SLOVAKIA,m/sec,2.9
S3,SRI LANKA,m/sec,3.36
SD,SAUDI ARABIA,m/sec,0.7
SG,SENEGAL,m/sec,3.2
SL,SIERRA LEONE,m/sec,2.15
SN,SWEDEN,m/sec,3.64
SR,SINGAPORE,m/sec,1.7
SU,SUDAN,m/sec,2.95
SY,SYRIAN ARAB REPUBLIC,m/sec,3.56
TD,TRINIDAD AND TOBAGO,m/sec,2.8
TE,CHAD,m/sec,2.32
TH,THAILAND,m/sec,1.53
TJ,JORDAN,m/sec,4.07
TX,TURKMENISTAN,m/sec,3.15
UB,EGYPT,m/sec,3.17
UE,UNITED ARAB EMIRATES,m/sec,3.38
UK,UNITED KINGDOM OF GREAT BRITAIN & NORTHERN IRELAND,m/sec,5.29
UY,URUGUAY,m/sec,4.18
UZ,UZBEKISTAN,m/sec,2.2
VN,VENEZUELA,m/sec,2.59
ZA,ZAMBIA,m/sec,2.8
